ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques
17949,simple,,,"Av Cold Cream Ps 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,95.20,142.80,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cold-Cream-Ps-40ml.webp,,,,,,,,,0,Avene
17950,simple,,,"Av Cold Cream Psts 100ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,181.30,271.95,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cold-Cream-Psts-100ml.png,,,,,,,,,0,Avene
17951,simple,,,"Av Eau Thermale 150ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,80.50,120.75,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Eau-Thermale-150ml.png,,,,,,,,,0,Avene
17952,simple,,,"Av Eau Thermale 300ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,115.50,173.25,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Eau-Thermale-300ml.png,,,,,,,,,0,Avene
17953,simple,,,"Av Ecran Anti-Age THP spf50+ 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,247.80,371.70,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Ecran-Anti-Age-THP-spf50-50ml.webp,,,,,,,,,0,"Avene solaire"
17954,simple,,,"Av Ecran Creme Anti-Oxydante",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,202.30,303.45,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Ecran-Creme-Anti-Oxydante.jpg,,,,,,,,,0,"Avene solaire"
17955,simple,,,"Av Ecran Fluide spf50+ 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,200.20,300.30,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Ecran-Fluide-spf50-50ml.jpeg,,,,,,,,,0,"Avene solaire"
17956,simple,,,"Av Ecran Sunsimed THP ps 80ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,285.60,428.40,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Ecran-Sunsimed-THP-ps-80ml.webp,,,,,,,,,0,"Avene solaire"
17957,simple,,,"Av Ecran Teinte 50",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,202.30,303.45,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Ecran-Teinte-50.png,,,,,,,,,0,"Avene solaire"
17958,simple,,,"Av Hydrance Aqua-Gel Creme Hydratant 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,193.20,289.80,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Hydrance-Aqua-Gel-Creme-Hydratant-50ml.webp,,,,,,,,,0,Avene
17959,simple,,,"Av Hydrance Legere emulsion hydratant 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,171.50,257.25,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Hydrance-Legere-emulsion-hydratant-40ml.jpg,,,,,,,,,0,Avene
17960,simple,,,"Av Hydrance Riche Creme Hydratante 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,171.50,257.25,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Hydrance-Riche-Creme-Hydratante-40ml.webp,,,,,,,,,0,Avene
17961,simple,,,"Av Hydrance Uv Legere emulsion hydratant spf30 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,171.50,257.25,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Hydrance-Uv-Legere-emulsion-hydratant-spf30-40ml.jpg,,,,,,,,,0,Avene
17962,simple,,,"Av Hydrance Uv Riche creme hydratante spf30 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,171.50,257.25,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Hydrance-Uv-Riche-creme-hydratante-spf30-40ml.jpg,,,,,,,,,0,Avene
17963,simple,,,"Av Tolerance control creme apaisante 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,216.30,324.45,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Tolerance-control-creme-apaisante-40ml.jpg,,,,,,,,,0,Avene
17964,simple,,,"Av Tolerance hydra-10 creme hydratant Ps 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,243.60,365.40,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Tolerance-hydra-10-creme-hydratant-Ps-40ml.jpg,,,,,,,,,0,Avene
17965,simple,,,"Bd micro-fine plus aiguille insuline 32G/4mm Bte 100pcs",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,190.00,285.00,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Bd-micro-fine-plus-aiguille-insuline-32G4mm-Bte-100pcs.webp,,,,,,,,,0,Bd
